Rank,Team Name,Manager,Wins,Losses,Ties,Win %,Points For,Points Against,Playoff Seed
1,DubJ,John,11,2,0,.846,3839.30,3328.4999999999995,1
2,Left Wing Lads,Ryan,6,7,0,.462,3415.00,3468.2000000000003,4
3,Miller Time,Ross,5,8,0,.385,3351.80,3448,6
4,Mitchell's Team,Mitchell,8,5,0,.615,3493.30,3272.6,2
5,Cam's Mustard Tigers,Cameron,7,6,0,.538,3435.50,3466.1,3
6,conor's Team,conor,6,7,0,.462,3378.90,3386.7,5
7,Goonsquad,Johnathan,5,8,0,.385,3151.70,3245.7999999999997,7
8,Double Ogre Time,Jesse,4,9,0,.308,3136.30,3585.8999999999996,8
